datasetTitle,source
% benefits held by non poor -All Social Insurance,1
% benefits held by non poor -All Social Protection,1
% benefits held by non poor -All Social Safety Nets,1
% benefits held by non poor -Cash Transfer,1
% benefits held by non poor -Conditional Cash Transfer,1
% benefits held by non poor -Family/Child allowances,1
% benefits held by non poor -In-Kind,1
% benefits held by non poor -Old Age Contributory,1
% benefits held by non poor -other SSN,1
% benefits held by non poor -Private Transfers,1
% benefits held by non poor -Public Works,1
% benefits held by non poor -School-feeding,1
% benefits held by non poor -Social Pension,1
% benefits held by non poor -Social Security,1
% benefits held by non poor -Unemp benefits and ALMP,1
% of 1st 20% population not receiving Social Protection,1
% of 1st 20% population only receiving All Social Insurance,1
% of 1st 20% population only receiving All Social Safety Nets,1
% of 1st 20% population only receiving Labor Market,1
% of 1st 20% population receiving 1 program,1
% of 1st 20% population receiving 2 programs,1
% of 1st 20% population receiving 3 programs,1
% of 1st 20% population receiving 4 or more programs,1
% of 1st 20% population receiving All Social Insurance and Labor Market,1
% of 1st 20% population receiving SSN and other,1
% of females ages 15-49 having comprehensive correct knowledge about HIV (2 prevent ways and reject 3 misconceptions),1
% of males ages 15-49 having comprehensive correct knowledge about HIV (2 prevent ways and reject 3 misconceptions),1
% of non poor beneficiaries - All Social Insurance,1
% of non poor beneficiaries - All Social Protection,1
% of non poor beneficiaries - All Social Safety Nets,1
% of non poor beneficiaries - Cash Transfer,1
% of non poor beneficiaries - Conditional Cash Transfer,1
% of non poor beneficiaries - Family/Child allowances,1
% of non poor beneficiaries - In-Kind,1
% of non poor beneficiaries - Old Age Contributory,1
% of non poor beneficiaries - other SSN,1
% of non poor beneficiaries - Private Transfers,1
% of non poor beneficiaries - Public Works,1
% of non poor beneficiaries - School-feeding,1
% of non poor beneficiaries - Social Pension,1
% of non poor beneficiaries - Social Security,1
% of non poor beneficiaries - Unemp benefits and ALMP,1
% of population not receiving Social Protection,1
% of population only receiving All Social Insurance,1
% of population only receiving All Social Safety Nets,1
% of population only receiving Labor Market,1
% of population receiving 2 program,1
% of population receiving 3 program,1
% of population receiving 4 or more program,1
% of population receiving All Social Insurance and Labor Market,1
% of population receiving only 1 program,1
% of population receiving SSN and other,1
(%) Benefits held by 1st 20% population - All Social Insurance,1
(%) Benefits held by 1st 20% population - All Social Protection,1
(%) Benefits held by 1st 20% population - All Social Safety Nets,1
(%) Benefits held by 1st 20% population - Cash Transfer,1
(%) Benefits held by 1st 20% population - Conditional Cash Transfer,1
(%) Benefits held by 1st 20% population - Family/Child allowances,1
(%) Benefits held by 1st 20% population - In-Kind,1
(%) Benefits held by 1st 20% population - Old Age Contributory,1
(%) Benefits held by 1st 20% population - other SSN,1
(%) Benefits held by 1st 20% population - Private Transfers,1
(%) Benefits held by 1st 20% population - Public Works,1
(%) Benefits held by 1st 20% population - School-feeding,1
(%) Benefits held by 1st 20% population - Social Pension,1
(%) Benefits held by 1st 20% population - Social Security,1
(%) Benefits held by 1st 20% population - Unemp benefits and ALMP,1
(%) Benefits held by 2nd 20% population - All Social Insurance,1
(%) Benefits held by 2nd 20% population - All Social Protection,1
(%) Benefits held by 2nd 20% population - All Social Safety Nets,1
(%) Benefits held by 2nd 20% population - Cash Transfer,1
(%) Benefits held by 2nd 20% population - Conditional Cash Transfer,1
(%) Benefits held by 2nd 20% population - Family/Child allowances,1
(%) Benefits held by 2nd 20% population - In-Kind,1
(%) Benefits held by 2nd 20% population - Old Age Contributory,1
(%) Benefits held by 2nd 20% population - other SSN,1
