indicator,topic,source
% benefits held by non poor -All Social Insurance,Labor & Social Protection,Global Social Protection
% benefits held by non poor -All Social Insurance,Labor & Social Protection ,Global Social Protection
% benefits held by non poor -All Social Protection,Labor & Social Protection,Global Social Protection
% benefits held by non poor -All Social Protection,Labor & Social Protection ,Global Social Protection
% benefits held by non poor -All Social Safety Nets,Labor & Social Protection,Global Social Protection
% benefits held by non poor -All Social Safety Nets,Labor & Social Protection ,Global Social Protection
% benefits held by non poor -Cash Transfer,Labor & Social Protection,Global Social Protection
% benefits held by non poor -Cash Transfer,Labor & Social Protection ,Global Social Protection
% benefits held by non poor -Conditional Cash Transfer,Labor & Social Protection,Global Social Protection
% benefits held by non poor -Conditional Cash Transfer,Labor & Social Protection ,Global Social Protection
% benefits held by non poor -Family/Child allowances,Labor & Social Protection,Global Social Protection
% benefits held by non poor -Family/Child allowances,Labor & Social Protection ,Global Social Protection
% benefits held by non poor -In-Kind,Labor & Social Protection,Global Social Protection
% benefits held by non poor -In-Kind,Labor & Social Protection ,Global Social Protection
% benefits held by non poor -Old Age Contributory,Labor & Social Protection,Global Social Protection
% benefits held by non poor -Old Age Contributory,Labor & Social Protection ,Global Social Protection
% benefits held by non poor -other SSN,Labor & Social Protection,Global Social Protection
% benefits held by non poor -other SSN,Labor & Social Protection ,Global Social Protection
% benefits held by non poor -Private Transfers,Labor & Social Protection,Global Social Protection
% benefits held by non poor -Private Transfers,Labor & Social Protection ,Global Social Protection
% benefits held by non poor -Public Works,Labor & Social Protection,Global Social Protection
% benefits held by non poor -Public Works,Labor & Social Protection ,Global Social Protection
% benefits held by non poor -School-feeding,Labor & Social Protection,Global Social Protection
% benefits held by non poor -School-feeding,Labor & Social Protection ,Global Social Protection
% benefits held by non poor -Social Pension,Labor & Social Protection,Global Social Protection
% benefits held by non poor -Social Pension,Labor & Social Protection ,Global Social Protection
% benefits held by non poor -Social Security,Labor & Social Protection,Global Social Protection
% benefits held by non poor -Social Security,Labor & Social Protection ,Global Social Protection
% benefits held by non poor -Unemp benefits and ALMP,Labor & Social Protection,Global Social Protection
% benefits held by non poor -Unemp benefits and ALMP,Labor & Social Protection ,Global Social Protection
% of 1st 20% population not receiving Social Protection,Labor & Social Protection,Global Social Protection
% of 1st 20% population not receiving Social Protection,Labor & Social Protection ,Global Social Protection
% of 1st 20% population only receiving All Social Insurance,Labor & Social Protection,Global Social Protection
% of 1st 20% population only receiving All Social Insurance,Labor & Social Protection ,Global Social Protection
% of 1st 20% population only receiving All Social Safety Nets,Labor & Social Protection,Global Social Protection
% of 1st 20% population only receiving All Social Safety Nets,Labor & Social Protection ,Global Social Protection
% of 1st 20% population only receiving Labor Market,Labor & Social Protection,Global Social Protection
% of 1st 20% population only receiving Labor Market,Labor & Social Protection ,Global Social Protection
% of 1st 20% population receiving 1 program,Labor & Social Protection,Global Social Protection
% of 1st 20% population receiving 1 program,Labor & Social Protection ,Global Social Protection
% of 1st 20% population receiving 2 programs,Labor & Social Protection,Global Social Protection
% of 1st 20% population receiving 2 programs,Labor & Social Protection ,Global Social Protection
% of 1st 20% population receiving 3 programs,Labor & Social Protection,Global Social Protection
% of 1st 20% population receiving 3 programs,Labor & Social Protection ,Global Social Protection
% of 1st 20% population receiving 4 or more programs,Labor & Social Protection,Global Social Protection
% of 1st 20% population receiving 4 or more programs,Labor & Social Protection ,Global Social Protection
% of 1st 20% population receiving All Social Insurance and Labor Market,Labor & Social Protection,Global Social Protection
% of 1st 20% population receiving All Social Insurance and Labor Market,Labor & Social Protection ,Global Social Protection
% of 1st 20% population receiving SSN and other,Labor & Social Protection,Global Social Protection
% of 1st 20% population receiving SSN and other,Labor & Social Protection ,Global Social Protection
% of non poor beneficiaries - All Social Insurance,Labor & Social Protection,Global Social Protection
% of non poor beneficiaries - All Social Insurance,Labor & Social Protection ,Global Social Protection
% of non poor beneficiaries - All Social Protection,Labor & Social Protection,Global Social Protection
% of non poor beneficiaries - All Social Protection,Labor & Social Protection ,Global Social Protection
% of non poor beneficiaries - All Social Safety Nets,Labor & Social Protection,Global Social Protection
% of non poor beneficiaries - All Social Safety Nets,Labor & Social Protection ,Global Social Protection
% of non poor beneficiaries - Cash Transfer,Labor & Social Protection,Global Social Protection
% of non poor beneficiaries - Cash Transfer,Labor & Social Protection ,Global Social Protection
% of non poor beneficiaries - Conditional Cash Transfer,Labor & Social Protection,Global Social Protection
% of non poor beneficiaries - Conditional Cash Transfer,Labor & Social Protection ,Global Social Protection
% of non poor beneficiaries - Family/Child allowances,Labor & Social Protection,Global Social Protection
% of non poor beneficiaries - Family/Child allowances,Labor & Social Protection ,Global Social Protection
% of non poor beneficiaries - In-Kind,Labor & Social Protection,Global Social Protection
% of non poor beneficiaries - In-Kind,Labor & Social Protection ,Global Social Protection
% of non poor beneficiaries - Old Age Contributory,Labor & Social Protection,Global Social Protection
% of non poor beneficiaries - Old Age Contributory,Labor & Social Protection ,Global Social Protection
% of non poor beneficiaries - other SSN,Labor & Social Protection,Global Social Protection
% of non poor beneficiaries - other SSN,Labor & Social Protection ,Global Social Protection
% of non poor beneficiaries - Private Transfers,Labor & Social Protection,Global Social Protection
% of non poor beneficiaries - Private Transfers,Labor & Social Protection ,Global Social Protection
% of non poor beneficiaries - Public Works,Labor & Social Protection,Global Social Protection
% of non poor beneficiaries - Public Works,Labor & Social Protection ,Global Social Protection
% of non poor beneficiaries - School-feeding,Labor & Social Protection,Global Social Protection
% of non poor beneficiaries - School-feeding,Labor & Social Protection ,Global Social Protection
% of non poor beneficiaries - Social Pension,Labor & Social Protection,Global Social Protection
% of non poor beneficiaries - Social Pension,Labor & Social Protection ,Global Social Protection
% of non poor beneficiaries - Social Security,Labor & Social Protection,Global Social Protection
% of non poor beneficiaries - Social Security,Labor & Social Protection ,Global Social Protection
% of non poor beneficiaries - Unemp benefits and ALMP,Labor & Social Protection,Global Social Protection
% of non poor beneficiaries - Unemp benefits and ALMP,Labor & Social Protection ,Global Social Protection
% of population not receiving Social Protection,Labor & Social Protection,Global Social Protection
% of population not receiving Social Protection,Labor & Social Protection ,Global Social Protection
% of population only receiving All Social Insurance,Labor & Social Protection,Global Social Protection
% of population only receiving All Social Insurance,Labor & Social Protection ,Global Social Protection
% of population only receiving All Social Safety Nets,Labor & Social Protection,Global Social Protection
% of population only receiving All Social Safety Nets,Labor & Social Protection ,Global Social Protection
% of population only receiving Labor Market,Labor & Social Protection,Global Social Protection
% of population only receiving Labor Market,Labor & Social Protection ,Global Social Protection
% of population receiving 2 program,Labor & Social Protection,Global Social Protection
% of population receiving 2 program,Labor & Social Protection ,Global Social Protection
% of population receiving 3 program,Labor & Social Protection,Global Social Protection
% of population receiving 3 program,Labor & Social Protection ,Global Social Protection
% of population receiving 4 or more program,Labor & Social Protection,Global Social Protection
% of population receiving 4 or more program,Labor & Social Protection ,Global Social Protection
